selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition
16,near-aligned,far-anchor,9,4,1,0,4
16,near-aligned,far-anchor,9,4,1,25,5
16,near-aligned,far-anchor,9,3,1,25,6
16,near-aligned,far-anchor,9,2,1,25,7
16,near-aligned,far-anchor,9,1,1,25,8
16,aligned,far-anchor,9,0,1,25,9
16,far-from-aligned,far-anchor,9,5,1,25,14
16,far-from-aligned,far-anchor,9,6,1,25,15
16,far-from-aligned,far-anchor,9,7,1,25,16
16,far-from-aligned,far-anchor,9,8,1,25 and 25,17
16,far-from-aligned,far-anchor,9,7,1,25,18
16,far-from-aligned,far-anchor,9,6,1,25,19
16,far-from-aligned,far-anchor,9,5,1,25,20
16,near-aligned,far-anchor,9,4,1,25,21
16,near-aligned,far-anchor,9,3,1,25,22
16,near-aligned,far-anchor,9,2,1,25,23
16,near-aligned,far-anchor,9,1,1,25,24
16,aligned,far-anchor,9,0,1,25,25
16,near-aligned,far-anchor,9,4,1,50,30
16,near-aligned,far-anchor,9,3,1,50,31
16,near-aligned,far-anchor,9,2,1,50,32
16,near-aligned,far-anchor,9,1,1,50,33
16,aligned,far-anchor,9,0,1,50,34
16,far-from-aligned,far-anchor,9,5,1,50,39
16,far-from-aligned,far-anchor,9,6,1,50,40
16,far-from-aligned,far-anchor,9,7,1,50,41
16,far-from-aligned,far-anchor,9,8,1,50 and 50,42
16,far-from-aligned,far-anchor,9,7,1,50,43
16,far-from-aligned,far-anchor,9,6,1,50,44
16,far-from-aligned,far-anchor,9,5,1,50,45
16,near-aligned,far-anchor,9,4,1,50,46
16,near-aligned,far-anchor,9,3,1,50,47
16,near-aligned,far-anchor,9,2,1,50,48
16,near-aligned,far-anchor,9,1,1,50,49
16,aligned,far-anchor,9,0,1,50,50
16,near-aligned,far-anchor,9,4,1,75,55
16,near-aligned,far-anchor,9,3,1,75,56
16,near-aligned,far-anchor,9,2,1,75,57
16,near-aligned,far-anchor,9,1,1,75,58
16,aligned,far-anchor,9,0,1,75,59
16,far-from-aligned,far-anchor,9,5,1,75,64
16,far-from-aligned,far-anchor,9,6,1,75,65
16,far-from-aligned,far-anchor,9,7,1,75,66
16,far-from-aligned,far-anchor,9,8,1,75 and 75,67
16,far-from-aligned,far-anchor,9,7,1,75,68
16,far-from-aligned,far-anchor,9,6,1,75,69
16,far-from-aligned,far-anchor,9,5,1,75,70
16,near-aligned,far-anchor,9,4,1,75,71
16,near-aligned,far-anchor,9,3,1,75,72
16,near-aligned,far-anchor,9,2,1,75,73
16,near-aligned,far-anchor,9,1,1,75,74
16,aligned,far-anchor,9,0,1,75,75
16,near-aligned,far-anchor,9,4,1,100,80
16,near-aligned,far-anchor,9,3,1,100,81
16,near-aligned,far-anchor,9,2,1,100,82
16,near-aligned,far-anchor,9,1,1,100,83
16,aligned,far-anchor,9,0,1,100,84
17,aligned,far-anchor,8,0,2,0,0
17,near-aligned,far-anchor,8,1,2,0,1
17,near-aligned,far-anchor,8,2,2,0,2
17,near-aligned,far-anchor,8,3,2,0,3
17,near-aligned,far-anchor,8,4,2,0 and 25,4
17,near-aligned,far-anchor,8,3,2,25,5
17,near-aligned,far-anchor,8,2,2,25,6
17,near-aligned,far-anchor,8,1,2,25,7
17,aligned,far-anchor,8,0,2,25,8
17,near-aligned,far-anchor,8,4,2,25,12
17,far-from-aligned,far-anchor,8,5,2,25,13
17,far-from-aligned,far-anchor,8,6,2,25,14
17,far-from-aligned,far-anchor,8,7,2,25,15
17,far-from-aligned,far-anchor,8,8,2,25,16
17,far-from-aligned,far-anchor,8,8,2,25,17
17,far-from-aligned,far-anchor,8,7,2,25,18
17,far-from-aligned,far-anchor,8,6,2,25,19
17,far-from-aligned,far-anchor,8,5,2,25,20
17,near-aligned,far-anchor,8,4,2,25,21
17,near-aligned,far-anchor,8,3,2,25,22
17,near-aligned,far-anchor,8,2,2,25,23
17,near-aligned,far-anchor,8,1,2,25,24
17,aligned,far-anchor,8,0,2,25,25
17,near-aligned,far-anchor,8,4,2,25 and 50,29
17,near-aligned,far-anchor,8,3,2,50,30
17,near-aligned,far-anchor,8,2,2,50,31
17,near-aligned,far-anchor,8,1,2,50,32
17,aligned,far-anchor,8,0,2,50,33
17,near-aligned,far-anchor,8,4,2,50,37
17,far-from-aligned,far-anchor,8,5,2,50,38
17,far-from-aligned,far-anchor,8,6,2,50,39
17,far-from-aligned,far-anchor,8,7,2,50,40
17,far-from-aligned,far-anchor,8,8,2,50,41
17,far-from-aligned,far-anchor,8,8,2,50,42
17,far-from-aligned,far-anchor,8,7,2,50,43
17,far-from-aligned,far-anchor,8,6,2,50,44
17,far-from-aligned,far-anchor,8,5,2,50,45
17,near-aligned,far-anchor,8,4,2,50,46
17,near-aligned,far-anchor,8,3,2,50,47
17,near-aligned,far-anchor,8,2,2,50,48
17,near-aligned,far-anchor,8,1,2,50,49
17,aligned,far-anchor,8,0,2,50,50
17,near-aligned,far-anchor,8,4,2,50 and 75,54
17,near-aligned,far-anchor,8,3,2,75,55
17,near-aligned,far-anchor,8,2,2,75,56
17,near-aligned,far-anchor,8,1,2,75,57
17,aligned,far-anchor,8,0,2,75,58
17,near-aligned,far-anchor,8,4,2,75,62
17,far-from-aligned,far-anchor,8,5,2,75,63
17,far-from-aligned,far-anchor,8,6,2,75,64
17,far-from-aligned,far-anchor,8,7,2,75,65
17,far-from-aligned,far-anchor,8,8,2,75,66
17,far-from-aligned,far-anchor,8,8,2,75,67
17,far-from-aligned,far-anchor,8,7,2,75,68
17,far-from-aligned,far-anchor,8,6,2,75,69
17,far-from-aligned,far-anchor,8,5,2,75,70
17,near-aligned,far-anchor,8,4,2,75,71
17,near-aligned,far-anchor,8,3,2,75,72
17,near-aligned,far-anchor,8,2,2,75,73
17,near-aligned,far-anchor,8,1,2,75,74
17,aligned,far-anchor,8,0,2,75,75
17,near-aligned,far-anchor,8,4,2,75 and 100,79
17,near-aligned,far-anchor,8,3,2,100,80
17,near-aligned,far-anchor,8,2,2,100,81
17,near-aligned,far-anchor,8,1,2,100,82
17,aligned,far-anchor,8,0,2,100,83
18,aligned,far-anchor,7,0,2,0,0
18,near-aligned,far-anchor,7,1,2,0,1
18,near-aligned,far-anchor,7,2,2,0,2
18,near-aligned,far-anchor,7,3,2,0,3
18,near-aligned,far-anchor,7,3,2,25,4
18,near-aligned,far-anchor,7,2,2,25,5
18,near-aligned,far-anchor,7,1,2,25,6
18,aligned,far-anchor,7,0,2,25,7
18,near-aligned,far-anchor,7,4,2,25,11
18,far-from-aligned,far-anchor,7,5,2,25,12
18,far-from-aligned,far-anchor,7,6,2,25,13
18,far-from-aligned,far-anchor,7,7,2,25,14
18,far-from-aligned,far-anchor,7,8,2,25,15
18,far-from-aligned,far-anchor,7,9,2,25 and 25,16
18,far-from-aligned,far-anchor,7,8,2,25,17
18,far-from-aligned,far-anchor,7,7,2,25,18
18,far-from-aligned,far-anchor,7,6,2,25,19
18,far-from-aligned,far-anchor,7,5,2,25,20
18,near-aligned,far-anchor,7,4,2,25,21
18,near-aligned,far-anchor,7,3,2,25,22
18,near-aligned,far-anchor,7,2,2,25,23
18,near-aligned,far-anchor,7,1,2,25,24
18,aligned,far-anchor,7,0,2,25,25
18,near-aligned,far-anchor,7,3,2,50,29
18,near-aligned,far-anchor,7,2,2,50,30
18,near-aligned,far-anchor,7,1,2,50,31
18,aligned,far-anchor,7,0,2,50,32
18,near-aligned,far-anchor,7,4,2,50,36
18,far-from-aligned,far-anchor,7,5,2,50,37
18,far-from-aligned,far-anchor,7,6,2,50,38
18,far-from-aligned,far-anchor,7,7,2,50,39
18,far-from-aligned,far-anchor,7,8,2,50,40
18,far-from-aligned,far-anchor,7,9,2,50 and 50,41
18,far-from-aligned,far-anchor,7,8,2,50,42
18,far-from-aligned,far-anchor,7,7,2,50,43
18,far-from-aligned,far-anchor,7,6,2,50,44
18,far-from-aligned,far-anchor,7,5,2,50,45
18,near-aligned,far-anchor,7,4,2,50,46
18,near-aligned,far-anchor,7,3,2,50,47
18,near-aligned,far-anchor,7,2,2,50,48
18,near-aligned,far-anchor,7,1,2,50,49
18,aligned,far-anchor,7,0,2,50,50
18,near-aligned,far-anchor,7,3,2,75,54
18,near-aligned,far-anchor,7,2,2,75,55
18,near-aligned,far-anchor,7,1,2,75,56
18,aligned,far-anchor,7,0,2,75,57
18,near-aligned,far-anchor,7,4,2,75,61
18,far-from-aligned,far-anchor,7,5,2,75,62
18,far-from-aligned,far-anchor,7,6,2,75,63
18,far-from-aligned,far-anchor,7,7,2,75,64
18,far-from-aligned,far-anchor,7,8,2,75,65
18,far-from-aligned,far-anchor,7,9,2,75 and 75,66
18,far-from-aligned,far-anchor,7,8,2,75,67
18,far-from-aligned,far-anchor,7,7,2,75,68
18,far-from-aligned,far-anchor,7,6,2,75,69
18,far-from-aligned,far-anchor,7,5,2,75,70
18,near-aligned,far-anchor,7,4,2,75,71
18,near-aligned,far-anchor,7,3,2,75,72
18,near-aligned,far-anchor,7,2,2,75,73
18,near-aligned,far-anchor,7,1,2,75,74
18,aligned,far-anchor,7,0,2,75,75
18,near-aligned,far-anchor,7,3,2,100,79
18,near-aligned,far-anchor,7,2,2,100,80
18,near-aligned,far-anchor,7,1,2,100,81
18,aligned,far-anchor,7,0,2,100,82
19,aligned,far-anchor,6,0,1,0,0
19,near-aligned,far-anchor,6,1,1,0,1
19,near-aligned,far-anchor,6,2,1,0,2
19,near-aligned,far-anchor,6,3,1,0 and 25,3
19,near-aligned,far-anchor,6,2,1,25,4
19,near-aligned,far-anchor,6,1,1,25,5
19,aligned,far-anchor,6,0,1,25,6
19,near-aligned,far-anchor,6,3,1,25,9
19,near-aligned,far-anchor,6,4,1,25,10
19,far-from-aligned,far-anchor,6,5,1,25,11
19,far-from-aligned,far-anchor,6,6,1,25,12
19,far-from-aligned,far-anchor,6,7,1,25,13
19,far-from-aligned,far-anchor,6,8,1,25,14
19,far-from-aligned,far-anchor,6,9,1,25,15
19,far-from-aligned,far-anchor,6,9,1,25,16
19,far-from-aligned,far-anchor,6,8,1,25,17
19,far-from-aligned,far-anchor,6,7,1,25,18
19,far-from-aligned,far-anchor,6,6,1,25,19
19,far-from-aligned,far-anchor,6,5,1,25,20
19,near-aligned,far-anchor,6,4,1,25,21
19,near-aligned,far-anchor,6,3,1,25,22
19,near-aligned,far-anchor,6,2,1,25,23
19,near-aligned,far-anchor,6,1,1,25,24
19,aligned,far-anchor,6,0,1,25,25
19,near-aligned,far-anchor,6,3,1,25 and 50,28
19,near-aligned,far-anchor,6,2,1,50,29
19,near-aligned,far-anchor,6,1,1,50,30
19,aligned,far-anchor,6,0,1,50,31
19,near-aligned,far-anchor,6,3,1,50,34
19,near-aligned,far-anchor,6,4,1,50,35
19,far-from-aligned,far-anchor,6,5,1,50,36
19,far-from-aligned,far-anchor,6,6,1,50,37
19,far-from-aligned,far-anchor,6,7,1,50,38
19,far-from-aligned,far-anchor,6,8,1,50,39
19,far-from-aligned,far-anchor,6,9,1,50,40
19,far-from-aligned,far-anchor,6,9,1,50,41
19,far-from-aligned,far-anchor,6,8,1,50,42
19,far-from-aligned,far-anchor,6,7,1,50,43
19,far-from-aligned,far-anchor,6,6,1,50,44
19,far-from-aligned,far-anchor,6,5,1,50,45
19,near-aligned,far-anchor,6,4,1,50,46
19,near-aligned,far-anchor,6,3,1,50,47
19,near-aligned,far-anchor,6,2,1,50,48
19,near-aligned,far-anchor,6,1,1,50,49
19,aligned,far-anchor,6,0,1,50,50
19,near-aligned,far-anchor,6,3,1,50 and 75,53
19,near-aligned,far-anchor,6,2,1,75,54
19,near-aligned,far-anchor,6,1,1,75,55
19,aligned,far-anchor,6,0,1,75,56
19,near-aligned,far-anchor,6,3,1,75,59
19,near-aligned,far-anchor,6,4,1,75,60
19,far-from-aligned,far-anchor,6,5,1,75,61
19,far-from-aligned,far-anchor,6,6,1,75,62
19,far-from-aligned,far-anchor,6,7,1,75,63
19,far-from-aligned,far-anchor,6,8,1,75,64
19,far-from-aligned,far-anchor,6,9,1,75,65
19,far-from-aligned,far-anchor,6,9,1,75,66
19,far-from-aligned,far-anchor,6,8,1,75,67
19,far-from-aligned,far-anchor,6,7,1,75,68
19,far-from-aligned,far-anchor,6,6,1,75,69
19,far-from-aligned,far-anchor,6,5,1,75,70
19,near-aligned,far-anchor,6,4,1,75,71
19,near-aligned,far-anchor,6,3,1,75,72
19,near-aligned,far-anchor,6,2,1,75,73
19,near-aligned,far-anchor,6,1,1,75,74
19,aligned,far-anchor,6,0,1,75,75
19,near-aligned,far-anchor,6,3,1,75 and 100,78
19,near-aligned,far-anchor,6,2,1,100,79
19,near-aligned,far-anchor,6,1,1,100,80
19,aligned,far-anchor,6,0,1,100,81
20,aligned,far-anchor,5,0,0,0,0
20,near-aligned,far-anchor,5,1,0,0,1
20,near-aligned,far-anchor,5,2,0,0,2
20,near-aligned,far-anchor,5,2,0,25,3
20,near-aligned,far-anchor,5,1,0,25,4
20,aligned,far-anchor,5,0,0,25,5
20,near-aligned,far-anchor,5,3,0,25,8
20,near-aligned,far-anchor,5,4,0,25,9
20,far-from-aligned,far-anchor,5,5,0,25,10
20,far-from-aligned,far-anchor,5,6,0,25,11
20,far-from-aligned,far-anchor,5,7,0,25,12
20,far-from-aligned,far-anchor,5,8,0,25,13
20,far-from-aligned,far-anchor,5,9,0,25,14
20,far-from-aligned,far-anchor,5,10,0,25 and 25,15
20,far-from-aligned,far-anchor,5,9,0,25,16
20,far-from-aligned,far-anchor,5,8,0,25,17
20,far-from-aligned,far-anchor,5,7,0,25,18
20,far-from-aligned,far-anchor,5,6,0,25,19
20,far-from-aligned,far-anchor,5,5,0,25,20
20,near-aligned,far-anchor,5,4,0,25,21
20,near-aligned,far-anchor,5,3,0,25,22
20,near-aligned,far-anchor,5,2,0,25,23
20,near-aligned,far-anchor,5,1,0,25,24
20,aligned,far-anchor,5,0,0,25,25
20,near-aligned,far-anchor,5,2,0,50,28
20,near-aligned,far-anchor,5,1,0,50,29
20,aligned,far-anchor,5,0,0,50,30
20,near-aligned,far-anchor,5,3,0,50,33
20,near-aligned,far-anchor,5,4,0,50,34
20,far-from-aligned,far-anchor,5,5,0,50,35
20,far-from-aligned,far-anchor,5,6,0,50,36
20,far-from-aligned,far-anchor,5,7,0,50,37
20,far-from-aligned,far-anchor,5,8,0,50,38
20,far-from-aligned,far-anchor,5,9,0,50,39
20,far-from-aligned,far-anchor,5,10,0,50 and 50,40
20,far-from-aligned,far-anchor,5,9,0,50,41
20,far-from-aligned,far-anchor,5,8,0,50,42
20,far-from-aligned,far-anchor,5,7,0,50,43
20,far-from-aligned,far-anchor,5,6,0,50,44
20,far-from-aligned,far-anchor,5,5,0,50,45
20,near-aligned,far-anchor,5,4,0,50,46
20,near-aligned,far-anchor,5,3,0,50,47
20,near-aligned,far-anchor,5,2,0,50,48
20,near-aligned,far-anchor,5,1,0,50,49
20,aligned,far-anchor,5,0,0,50,50
20,near-aligned,far-anchor,5,2,0,75,53
20,near-aligned,far-anchor,5,1,0,75,54
20,aligned,far-anchor,5,0,0,75,55
20,near-aligned,far-anchor,5,3,0,75,58
20,near-aligned,far-anchor,5,4,0,75,59
20,far-from-aligned,far-anchor,5,5,0,75,60
20,far-from-aligned,far-anchor,5,6,0,75,61
20,far-from-aligned,far-anchor,5,7,0,75,62
20,far-from-aligned,far-anchor,5,8,0,75,63
20,far-from-aligned,far-anchor,5,9,0,75,64
20,far-from-aligned,far-anchor,5,10,0,75 and 75,65
20,far-from-aligned,far-anchor,5,9,0,75,66
20,far-from-aligned,far-anchor,5,8,0,75,67
20,far-from-aligned,far-anchor,5,7,0,75,68
20,far-from-aligned,far-anchor,5,6,0,75,69
20,far-from-aligned,far-anchor,5,5,0,75,70
20,near-aligned,far-anchor,5,4,0,75,71
20,near-aligned,far-anchor,5,3,0,75,72
20,near-aligned,far-anchor,5,2,0,75,73
20,near-aligned,far-anchor,5,1,0,75,74
20,aligned,far-anchor,5,0,0,75,75
20,near-aligned,far-anchor,5,2,0,100,78
20,near-aligned,far-anchor,5,1,0,100,79
20,aligned,far-anchor,5,0,0,100,80
21,aligned,near-anchor,4,0,1,0,0
21,near-aligned,near-anchor,4,1,1,0,1
21,near-aligned,near-anchor,4,2,1,0 and 25,2
21,near-aligned,near-anchor,4,1,1,25,3
21,aligned,near-anchor,4,0,1,25,4
21,near-aligned,near-anchor,4,2,1,25,6
21,near-aligned,near-anchor,4,3,1,25,7
21,near-aligned,near-anchor,4,4,1,25,8
21,far-from-aligned,near-anchor,4,5,1,25,9
21,far-from-aligned,near-anchor,4,6,1,25,10
21,far-from-aligned,near-anchor,4,7,1,25,11
21,far-from-aligned,near-anchor,4,8,1,25,12
21,far-from-aligned,near-anchor,4,9,1,25,13
21,far-from-aligned,near-anchor,4,10,1,25,14
21,far-from-aligned,near-anchor,4,10,1,25,15
21,far-from-aligned,near-anchor,4,9,1,25,16
21,far-from-aligned,near-anchor,4,8,1,25,17
21,far-from-aligned,near-anchor,4,7,1,25,18
21,far-from-aligned,near-anchor,4,6,1,25,19
21,far-from-aligned,near-anchor,4,5,1,25,20
21,near-aligned,near-anchor,4,4,1,25,21
21,near-aligned,near-anchor,4,3,1,25,22
21,near-aligned,near-anchor,4,2,1,25,23
21,near-aligned,near-anchor,4,1,1,25,24
21,aligned,near-anchor,4,0,1,25,25
21,near-aligned,near-anchor,4,2,1,25 and 50,27
21,near-aligned,near-anchor,4,1,1,50,28
21,aligned,near-anchor,4,0,1,50,29
21,near-aligned,near-anchor,4,2,1,50,31
21,near-aligned,near-anchor,4,3,1,50,32
21,near-aligned,near-anchor,4,4,1,50,33
21,far-from-aligned,near-anchor,4,5,1,50,34
21,far-from-aligned,near-anchor,4,6,1,50,35
21,far-from-aligned,near-anchor,4,7,1,50,36
21,far-from-aligned,near-anchor,4,8,1,50,37
21,far-from-aligned,near-anchor,4,9,1,50,38
21,far-from-aligned,near-anchor,4,10,1,50,39
21,far-from-aligned,near-anchor,4,10,1,50,40
21,far-from-aligned,near-anchor,4,9,1,50,41
21,far-from-aligned,near-anchor,4,8,1,50,42
21,far-from-aligned,near-anchor,4,7,1,50,43
21,far-from-aligned,near-anchor,4,6,1,50,44
21,far-from-aligned,near-anchor,4,5,1,50,45
21,near-aligned,near-anchor,4,4,1,50,46
21,near-aligned,near-anchor,4,3,1,50,47
21,near-aligned,near-anchor,4,2,1,50,48
21,near-aligned,near-anchor,4,1,1,50,49
21,aligned,near-anchor,4,0,1,50,50
21,near-aligned,near-anchor,4,2,1,50 and 75,52
21,near-aligned,near-anchor,4,1,1,75,53
21,aligned,near-anchor,4,0,1,75,54
21,near-aligned,near-anchor,4,2,1,75,56
21,near-aligned,near-anchor,4,3,1,75,57
21,near-aligned,near-anchor,4,4,1,75,58
21,far-from-aligned,near-anchor,4,5,1,75,59
21,far-from-aligned,near-anchor,4,6,1,75,60
21,far-from-aligned,near-anchor,4,7,1,75,61
21,far-from-aligned,near-anchor,4,8,1,75,62
21,far-from-aligned,near-anchor,4,9,1,75,63
21,far-from-aligned,near-anchor,4,10,1,75,64
21,far-from-aligned,near-anchor,4,10,1,75,65
21,far-from-aligned,near-anchor,4,9,1,75,66
21,far-from-aligned,near-anchor,4,8,1,75,67
21,far-from-aligned,near-anchor,4,7,1,75,68
21,far-from-aligned,near-anchor,4,6,1,75,69
21,far-from-aligned,near-anchor,4,5,1,75,70
21,near-aligned,near-anchor,4,4,1,75,71
21,near-aligned,near-anchor,4,3,1,75,72
21,near-aligned,near-anchor,4,2,1,75,73
21,near-aligned,near-anchor,4,1,1,75,74
21,aligned,near-anchor,4,0,1,75,75
21,near-aligned,near-anchor,4,2,1,75 and 100,77
21,near-aligned,near-anchor,4,1,1,100,78
21,aligned,near-anchor,4,0,1,100,79
22,aligned,near-anchor,3,0,2,0,0
22,near-aligned,near-anchor,3,1,2,0,1
22,near-aligned,near-anchor,3,1,2,25,2
22,aligned,near-anchor,3,0,2,25,3
22,near-aligned,near-anchor,3,2,2,25,5
22,near-aligned,near-anchor,3,3,2,25,6
22,near-aligned,near-anchor,3,4,2,25,7
22,far-from-aligned,near-anchor,3,5,2,25,8
22,far-from-aligned,near-anchor,3,6,2,25,9
22,far-from-aligned,near-anchor,3,7,2,25,10
22,far-from-aligned,near-anchor,3,8,2,25,11
22,far-from-aligned,near-anchor,3,9,2,25,12
22,far-from-aligned,near-anchor,3,10,2,25,13
22,far-from-aligned,near-anchor,3,11,2,25 and 25,14
22,far-from-aligned,near-anchor,3,10,2,25,15
22,far-from-aligned,near-anchor,3,9,2,25,16
22,far-from-aligned,near-anchor,3,8,2,25,17
22,far-from-aligned,near-anchor,3,7,2,25,18
22,far-from-aligned,near-anchor,3,6,2,25,19
22,far-from-aligned,near-anchor,3,5,2,25,20
22,near-aligned,near-anchor,3,4,2,25,21
22,near-aligned,near-anchor,3,3,2,25,22
22,near-aligned,near-anchor,3,2,2,25,23
22,near-aligned,near-anchor,3,1,2,25,24
22,aligned,near-anchor,3,0,2,25,25
22,near-aligned,near-anchor,3,1,2,50,27
22,aligned,near-anchor,3,0,2,50,28
22,near-aligned,near-anchor,3,2,2,50,30
22,near-aligned,near-anchor,3,3,2,50,31
22,near-aligned,near-anchor,3,4,2,50,32
22,far-from-aligned,near-anchor,3,5,2,50,33
22,far-from-aligned,near-anchor,3,6,2,50,34
22,far-from-aligned,near-anchor,3,7,2,50,35
22,far-from-aligned,near-anchor,3,8,2,50,36
22,far-from-aligned,near-anchor,3,9,2,50,37
22,far-from-aligned,near-anchor,3,10,2,50,38
22,far-from-aligned,near-anchor,3,11,2,50 and 50,39
22,far-from-aligned,near-anchor,3,10,2,50,40
22,far-from-aligned,near-anchor,3,9,2,50,41
22,far-from-aligned,near-anchor,3,8,2,50,42
22,far-from-aligned,near-anchor,3,7,2,50,43
22,far-from-aligned,near-anchor,3,6,2,50,44
22,far-from-aligned,near-anchor,3,5,2,50,45
22,near-aligned,near-anchor,3,4,2,50,46
22,near-aligned,near-anchor,3,3,2,50,47
22,near-aligned,near-anchor,3,2,2,50,48
22,near-aligned,near-anchor,3,1,2,50,49
22,aligned,near-anchor,3,0,2,50,50
22,near-aligned,near-anchor,3,1,2,75,52
22,aligned,near-anchor,3,0,2,75,53
22,near-aligned,near-anchor,3,2,2,75,55
22,near-aligned,near-anchor,3,3,2,75,56
22,near-aligned,near-anchor,3,4,2,75,57
22,far-from-aligned,near-anchor,3,5,2,75,58
22,far-from-aligned,near-anchor,3,6,2,75,59
22,far-from-aligned,near-anchor,3,7,2,75,60
22,far-from-aligned,near-anchor,3,8,2,75,61
22,far-from-aligned,near-anchor,3,9,2,75,62
22,far-from-aligned,near-anchor,3,10,2,75,63
22,far-from-aligned,near-anchor,3,11,2,75 and 75,64
22,far-from-aligned,near-anchor,3,10,2,75,65
22,far-from-aligned,near-anchor,3,9,2,75,66
22,far-from-aligned,near-anchor,3,8,2,75,67
22,far-from-aligned,near-anchor,3,7,2,75,68
22,far-from-aligned,near-anchor,3,6,2,75,69
22,far-from-aligned,near-anchor,3,5,2,75,70
22,near-aligned,near-anchor,3,4,2,75,71
22,near-aligned,near-anchor,3,3,2,75,72
22,near-aligned,near-anchor,3,2,2,75,73
22,near-aligned,near-anchor,3,1,2,75,74
22,aligned,near-anchor,3,0,2,75,75
22,near-aligned,near-anchor,3,1,2,100,77
22,aligned,near-anchor,3,0,2,100,78
23,aligned,near-anchor,2,0,2,0,0
23,near-aligned,near-anchor,2,1,2,0 and 25,1
23,aligned,near-anchor,2,0,2,25,2
23,near-aligned,near-anchor,2,1,2,25,3
23,near-aligned,near-anchor,2,2,2,25,4
23,near-aligned,near-anchor,2,3,2,25,5
23,near-aligned,near-anchor,2,4,2,25,6
23,far-from-aligned,near-anchor,2,5,2,25,7
23,far-from-aligned,near-anchor,2,6,2,25,8
23,far-from-aligned,near-anchor,2,7,2,25,9
23,far-from-aligned,near-anchor,2,8,2,25,10
23,far-from-aligned,near-anchor,2,9,2,25,11
23,far-from-aligned,near-anchor,2,10,2,25,12
23,far-from-aligned,near-anchor,2,11,2,25,13
23,far-from-aligned,near-anchor,2,11,2,25,14
23,far-from-aligned,near-anchor,2,10,2,25,15
23,far-from-aligned,near-anchor,2,9,2,25,16
23,far-from-aligned,near-anchor,2,8,2,25,17
