selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition
15,aligned,far-anchor,10,0,0,0,0
15,near-aligned,far-anchor,10,1,0,0,1
15,near-aligned,far-anchor,10,2,0,0,2
15,near-aligned,far-anchor,10,3,0,0,3
15,near-aligned,far-anchor,10,4,0,0,4
15,far-from-aligned,far-anchor,10,5,0,0 and 25,5
15,near-aligned,far-anchor,10,4,0,25,6
15,near-aligned,far-anchor,10,3,0,25,7
15,near-aligned,far-anchor,10,2,0,25,8
15,near-aligned,far-anchor,10,1,0,25,9
15,aligned,far-anchor,10,0,0,25,10
15,far-from-aligned,far-anchor,10,5,0,25,15
15,far-from-aligned,far-anchor,10,6,0,25,16
15,far-from-aligned,far-anchor,10,7,0,25,17
15,far-from-aligned,far-anchor,10,7,0,25,18
15,far-from-aligned,far-anchor,10,6,0,25,19
15,far-from-aligned,far-anchor,10,5,0,25,20
15,near-aligned,far-anchor,10,4,0,25,21
15,near-aligned,far-anchor,10,3,0,25,22
15,near-aligned,far-anchor,10,2,0,25,23
15,near-aligned,far-anchor,10,1,0,25,24
15,aligned,far-anchor,10,0,0,25,25
15,far-from-aligned,far-anchor,10,5,0,25 and 50,30
15,near-aligned,far-anchor,10,4,0,50,31
15,near-aligned,far-anchor,10,3,0,50,32
15,near-aligned,far-anchor,10,2,0,50,33
15,near-aligned,far-anchor,10,1,0,50,34
15,aligned,far-anchor,10,0,0,50,35
15,far-from-aligned,far-anchor,10,5,0,50,40
15,far-from-aligned,far-anchor,10,6,0,50,41
15,far-from-aligned,far-anchor,10,7,0,50,42
15,far-from-aligned,far-anchor,10,7,0,50,43
15,far-from-aligned,far-anchor,10,6,0,50,44
15,far-from-aligned,far-anchor,10,5,0,50,45
15,near-aligned,far-anchor,10,4,0,50,46
15,near-aligned,far-anchor,10,3,0,50,47
15,near-aligned,far-anchor,10,2,0,50,48
15,near-aligned,far-anchor,10,1,0,50,49
15,aligned,far-anchor,10,0,0,50,50
15,far-from-aligned,far-anchor,10,5,0,50 and 75,55
15,near-aligned,far-anchor,10,4,0,75,56
15,near-aligned,far-anchor,10,3,0,75,57
15,near-aligned,far-anchor,10,2,0,75,58
15,near-aligned,far-anchor,10,1,0,75,59
15,aligned,far-anchor,10,0,0,75,60
15,far-from-aligned,far-anchor,10,5,0,75,65
15,far-from-aligned,far-anchor,10,6,0,75,66
15,far-from-aligned,far-anchor,10,7,0,75,67
15,far-from-aligned,far-anchor,10,7,0,75,68
15,far-from-aligned,far-anchor,10,6,0,75,69
15,far-from-aligned,far-anchor,10,5,0,75,70
15,near-aligned,far-anchor,10,4,0,75,71
15,near-aligned,far-anchor,10,3,0,75,72
15,near-aligned,far-anchor,10,2,0,75,73
15,near-aligned,far-anchor,10,1,0,75,74
15,aligned,far-anchor,10,0,0,75,75
15,far-from-aligned,far-anchor,10,5,0,75 and 100,80
15,near-aligned,far-anchor,10,4,0,100,81
15,near-aligned,far-anchor,10,3,0,100,82
15,near-aligned,far-anchor,10,2,0,100,83
15,near-aligned,far-anchor,10,1,0,100,84
15,aligned,far-anchor,10,0,0,100,85
16,aligned,far-anchor,9,0,1,0,0
16,near-aligned,far-anchor,9,1,1,0,1
16,near-aligned,far-anchor,9,2,1,0,2
16,near-aligned,far-anchor,9,3,1,0,3
